datetime,open,close,high,low,volume,status
20250325,203.5,205.71,206.21,203.22,19457800.0,1
20250326,205.95,201.13,206.01,199.92,19632000.0,1
20250327,200.67,201.36,203.79,199.28,15187700.0,1
20250328,198.48,192.72,199.26,191.88,29145500.0,1
20250331,188.19,190.26,191.33,184.4,33419900.0,1
20250401,187.86,192.17,193.93,187.2,24023500.0,1
20250402,187.66,196.01,198.34,187.66,33111200.0,1
20250403,182.96,178.41,184.13,176.97,61224100.0,1
20250404,167.15,171.0,178.15,166.07,75053600.0,1
20250407,161.77,175.26,183.41,161.38,73329800.0,1
20250408,185.15,170.66,185.83,168.57,55623400.0,1
20250409,172.12,191.1,192.65,169.95,74017000.0,1
20250410,185.43,181.22,186.87,175.85,41460100.0,1
20250411,179.93,184.87,185.86,178.0,30553200.0,1
20250414,186.84,182.12,187.44,179.23,31458000.0,1
20250415,181.31,179.59,182.35,177.93,26948200.0,1
20250416,176.29,174.33,179.11,171.41,31044200.0,1
20250417,176.0,172.61,176.21,172.0,26346400.0,1
20250421,169.6,167.32,169.61,165.28,29133000.0,1
20250422,169.93,173.18,176.78,169.35,35128800.0,1
20250423,183.45,180.6,187.38,180.19,40420400.0,1
20250424,180.76,186.54,186.74,180.18,24600400.0,1
20250425,187.62,188.99,189.94,185.49,22186600.0,1
20250428,190.11,187.7,190.22,184.88,19080000.0,1
20250429,183.98,187.39,188.02,183.68,26680100.0,1
20250430,182.17,184.42,185.05,178.85,27100400.0,1
20250501,190.63,190.2,191.81,187.5,37088200.0,1
20250502,191.43,189.98,192.88,186.4,53065300.0,1
20250505,186.41,186.35,188.18,185.53,20566700.0,1
20250506,184.54,185.01,187.93,183.85,15937500.0,1
20250507,185.56,188.71,190.99,185.01,26920100.0,1
20250508,191.51,192.08,194.33,188.82,24316000.0,1
20250509,193.43,193.06,194.69,191.16,16841400.0,1
20250512,210.67,208.64,211.66,205.75,46631500.0,1
20250513,211.0,211.37,214.84,210.1,32549000.0,1
20250514,211.45,210.25,211.93,208.85,22945800.0,1
20250515,206.44,205.17,206.88,202.67,42709700.0,1
20250516,206.57,205.59,206.85,204.37,22968500.0,1
20250519,201.65,206.16,206.62,201.26,19115400.0,1
20250520,204.63,204.07,205.59,202.65,17350900.0,1
20250521,201.57,201.12,203.46,200.06,26128600.0,1
20250522,201.38,203.1,205.76,200.16,24857000.0,1
20250523,198.92,200.99,202.37,197.85,18574600.0,1
20250527,203.09,206.02,206.69,202.19,20527600.0,1
20250528,205.92,204.72,207.66,204.41,15686800.0,1
20250529,208.03,205.7,208.81,204.23,20658200.0,1
20250530,204.84,205.01,205.99,201.69,20286500.0,1
20250602,204.97,206.65,207.0,202.68,17090800.0,1
20250603,207.01,205.71,208.95,205.03,19478000.0,1
