date,open,high,low,close,price,volume
202606161539,208.45,208.47,208.25,208.3,208.3,149368.0
202606161540,208.3,208.42,208.2,208.35,208.35,159538.0
202606161541,208.36,208.37,208.28,208.3,208.3,120543.0
202606161542,208.3,208.4,208.29,208.36,208.36,129920.0
202606161543,208.36,208.59,208.3,208.55,208.55,144329.0
202606161544,208.54,208.73,208.5,208.71,208.71,134702.0
202606161545,208.7,208.73,208.55,208.6,208.6,123078.0
202606161546,208.6,208.66,208.57,208.63,208.63,98445.0
202606161547,208.63,208.65,208.45,208.49,208.49,108001.0
202606161548,208.49,208.56,208.41,208.5,208.5,128985.0
202606161549,208.49,208.55,208.42,208.54,208.54,147394.0
202606161550,208.55,208.9,208.55,208.58,208.58,277950.0
202606161551,208.59,208.74,208.57,208.66,208.66,201444.0
202606161552,208.65,208.8,208.48,208.57,208.57,220373.0
202606161553,208.57,208.62,208.38,208.4,208.4,232374.0
202606161554,208.42,208.88,208.42,208.76,208.76,326973.0
202606161555,208.77,208.8,208.1,208.25,208.25,671248.0
202606161556,208.25,208.4,208.15,208.16,208.16,424347.0
202606161557,208.16,208.16,207.74,207.79,207.79,709022.0
202606161558,207.8,207.88,207.67,207.86,207.86,920327.0
202606161559,207.85,207.92,207.29,207.35,207.35,2076975.0
202606170930,208.59,208.69,207.7,208.04,208.04,1632285.0
202606170931,208.01,208.39,207.74,208.2,208.2,291593.0
202606170932,208.17,208.18,207.74,207.85,207.85,280774.0
202606170933,207.89,208.25,207.83,208.16,208.16,273943.0
202606170934,208.2,208.45,208.03,208.4,208.4,225464.0
202606170935,208.4,208.56,208.11,208.16,208.16,360266.0
202606170936,208.13,208.17,207.64,207.97,207.97,301100.0
202606170937,207.97,208.12,207.7,207.83,207.83,246126.0
202606170938,207.81,207.93,207.55,207.64,207.64,262411.0
202606170939,207.66,208.33,207.64,208.25,208.25,257250.0
202606170940,208.26,208.61,208.04,208.6,208.6,300794.0
202606170941,208.57,208.85,208.5,208.72,208.72,342900.0
202606170942,208.72,208.75,208.06,208.38,208.38,295267.0
202606170943,208.37,208.58,208.24,208.44,208.44,235161.0
202606170944,208.39,208.67,208.17,208.66,208.66,235811.0
202606170945,208.65,208.67,208.38,208.47,208.47,220423.0
202606170946,208.47,208.55,208.03,208.1,208.1,207128.0
202606170947,208.11,208.28,207.98,208.12,208.12,239324.0
202606170948,208.12,208.4,208.0,208.36,208.36,182136.0
202606170949,208.36,208.59,208.27,208.43,208.43,293253.0
202606170950,208.44,208.7,208.03,208.37,208.37,383971.0
202606170951,208.37,209.12,208.36,209.05,209.05,454023.0
202606170952,209.02,209.21,208.99,209.1,209.1,268332.0
202606170953,209.09,209.17,208.72,208.82,208.82,300190.0
202606170954,208.82,208.87,208.3,208.52,208.52,265586.0
202606170955,208.54,208.56,208.29,208.32,208.32,201237.0
202606170956,208.33,208.39,207.76,207.78,207.78,291561.0
202606170957,207.77,207.82,207.27,207.38,207.38,327040.0
202606170958,207.38,207.43,207.22,207.24,207.24,205677.0
202606170959,207.25,207.4,207.13,207.21,207.21,284523.0
202606171000,207.2,207.6,207.1,207.58,207.58,277807.0
202606171001,207.58,207.6,207.02,207.05,207.05,295130.0
202606171002,207.05,207.05,206.74,206.9,206.9,307609.0
202606171003,206.9,207.3,206.85,207.16,207.16,245589.0
202606171004,207.16,207.42,207.16,207.32,207.32,271208.0
202606171005,207.33,207.33,207.07,207.14,207.14,163174.0
202606171006,207.14,207.52,207.13,207.22,207.22,263163.0
202606171007,207.22,207.47,207.21,207.34,207.34,149104.0
202606171008,207.34,207.59,207.27,207.36,207.36,235306.0
202606171009,207.33,207.35,206.86,207.03,207.03,177671.0
202606171010,207.02,207.16,206.87,207.06,207.06,197337.0
202606171011,207.03,207.2,206.9,207.08,207.08,167903.0
202606171012,207.09,207.55,207.08,207.38,207.38,265006.0
202606171013,207.36,207.48,207.29,207.47,207.47,138627.0
202606171014,207.44,207.59,207.38,207.45,207.45,162676.0
202606171015,207.45,207.57,207.4,207.47,207.47,117618.0
202606171016,207.48,207.58,207.29,207.32,207.32,153069.0
202606171017,207.31,207.63,207.27,207.61,207.61,133656.0
202606171018,207.59,207.6,207.32,207.38,207.38,121691.0
202606171019,207.39,207.63,207.36,207.54,207.54,168800.0
202606171020,207.54,207.6,207.35,207.46,207.46,130642.0
202606171021,207.46,207.68,207.43,207.68,207.68,188263.0
202606171022,207.68,207.93,207.66,207.79,207.79,292430.0
202606171023,207.82,208.02,207.77,207.95,207.95,275678.0
202606171024,207.94,208.22,207.93,208.09,208.09,292056.0
202606171025,208.1,208.14,207.76,207.79,207.79,170491.0
202606171026,207.79,207.99,207.67,207.97,207.97,151229.0
202606171027,207.95,208.0,207.64,207.95,207.95,156188.0
202606171028,207.97,208.04,207.84,207.98,207.98,129433.0
202606171029,207.98,208.1,207.85,207.9,207.9,108130.0
202606171030,207.9,207.93,207.56,207.61,207.61,201664.0
202606171031,207.62,207.62,207.33,207.53,207.53,237195.0
202606171032,207.53,207.66,207.32,207.35,207.35,126954.0
202606171033,207.35,207.43,207.25,207.27,207.27,199136.0
202606171034,207.28,207.4,207.2,207.39,207.39,256551.0
202606171035,207.37,207.59,207.26,207.48,207.48,214189.0
202606171036,207.47,207.48,207.08,207.13,207.13,212002.0
202606171037,207.14,207.38,207.14,207.23,207.23,112986.0
202606171038,207.25,207.4,207.09,207.13,207.13,139101.0
202606171039,207.13,207.35,207.07,207.08,207.08,154305.0
202606171040,207.09,207.18,206.85,206.88,206.88,222353.0
202606171041,206.87,206.96,206.73,206.94,206.94,215694.0
202606171042,206.95,207.23,206.9,207.18,207.18,177271.0
202606171043,207.18,207.4,207.17,207.38,207.38,193884.0
202606171044,207.38,207.48,207.31,207.41,207.41,137980.0
202606171045,207.41,207.68,207.36,207.58,207.58,191206.0
202606171046,207.57,207.9,207.54,207.83,207.83,226808.0
202606171047,207.82,207.88,206.8,207.23,207.23,451262.0
202606171048,207.24,207.45,207.17,207.27,207.27,200340.0
202606171049,207.26,207.4,207.07,207.21,207.21,131037.0
202606171050,207.22,207.33,207.12,207.22,207.22,97253.0
202606171051,207.21,207.37,207.18,207.23,207.23,149789.0
202606171052,207.23,207.39,207.18,207.3,207.3,127323.0
202606171053,207.28,207.28,206.97,207.16,207.16,153633.0
202606171054,207.16,207.5,207.15,207.44,207.44,126858.0
202606171055,207.42,207.43,207.2,207.23,207.23,107760.0
202606171056,207.21,207.29,207.02,207.02,207.02,91231.0
202606171057,207.03,207.12,206.88,206.89,206.89,194234.0
202606171058,206.9,207.0,206.65,206.7,206.7,299463.0
202606171059,206.71,206.75,206.36,206.47,206.47,419541.0
202606171100,206.47,206.67,206.37,206.4,206.4,254605.0
202606171101,206.39,206.56,206.26,206.29,206.29,331565.0
202606171102,206.29,206.41,206.18,206.24,206.24,282299.0
